,Date,Winner,Method,Weight_class,W_round,W_round_time,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_link,B_link,N_Rounds,Fight_time,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land,R_Height,R_Reach,R_Stance,B_Height,B_Reach,B_Stance,R_age,B_age
4633,2019-02-02,R,Dec,Women's Strawweight,3,300,0.0,0.0,3.0,0.0,0.0,0.0,222.0,276.0,http://ufcstats.com/fighter-details/dab8cfbb6b1db10a,http://ufcstats.com/fighter-details/1641ef250e9de19b,3,1200,118.0,75.0,143.0,78.0,10.0,4.0,0.0,0.0,65.0,23.0,90.0,32.0,49.0,14.0,72.0,23.0,10.0,6.0,12.0,7.0,6.0,3.0,6.0,2.0,46.0,15.0,80.0,23.0,3.0,3.0,4.0,4.0,16.0,5.0,6.0,5.0,63.0,63.0,Orthodox,66.0,69.0,Southpaw,27.0,31.0
4634,2007-04-08,R,KO,Heavyweight,1,383,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/9e30f69cc0869301,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,3,983,149.0,108.0,48.0,39.0,2.0,2.0,1.0,1.0,103.0,70.0,21.0,13.0,92.0,60.0,17.0,9.0,11.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,21.0,14.0,6.0,3.0,65.0,44.0,10.0,7.0,17.0,12.0,5.0,3.0,77.0,79.0,Orthodox,73.0,75.0,Orthodox,28.0,41.0
4635,2003-12-31,R,KO,Heavyweight,1,39,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/fbbde91f7bc2d3c5,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,3,639,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,77.0,Orthodox,73.0,75.0,Orthodox,37.0,38.0
4636,2002-11-24,R,Sub,Heavyweight,1,332,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/2eae41f61776c60f,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,3,932,0.0,0.0,34.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,73.0,Orthodox,73.0,75.0,Orthodox,33.0,37.0
4637,2002-06-23,R,KO,Heavyweight,1,370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/d856a0080ac09ed7,3,970,150.0,113.0,97.0,62.0,0.0,0.0,2.0,0.0,113.0,83.0,85.0,54.0,96.0,66.0,54.0,31.0,17.0,17.0,28.0,21.0,0.0,0.0,3.0,2.0,13.0,8.0,11.0,2.0,91.0,69.0,73.0,51.0,9.0,6.0,1.0,1.0,73.0,75.0,Orthodox,77.0,79.0,Orthodox,36.0,33.0
4638,2002-02-24,R,Dec,Heavyweight,3,300,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/63b65af1c5cb02cb,3,1500,237.0,177.0,144.0,110.0,0.0,0.0,0.0,0.0,114.0,65.0,70.0,43.0,62.0,18.0,34.0,11.0,50.0,45.0,30.0,26.0,2.0,2.0,6.0,6.0,48.0,11.0,35.0,11.0,62.0,52.0,35.0,32.0,4.0,2.0,0.0,0.0,73.0,75.0,Orthodox,73.0,72.0,Orthodox,36.0,38.0
4639,2001-09-24,R,KO,Open Weight,1,447,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/d29b5c4f22c6357d,3,1047,50.0,43.0,61.0,50.0,6.0,3.0,0.0,0.0,12.0,10.0,22.0,12.0,6.0,4.0,20.0,11.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,2.0,9.0,4.0,8.0,8.0,6.0,3.0,73.0,75.0,Orthodox,74.0,77.0,Orthodox,35.0,25.0
4640,1996-12-07,R,Sub,Open Weight,1,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/18524b46c570730b,2,740,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,75.0,Orthodox,72.0,74.0,Orthodox,31.0,29.0
4641,1996-12-07,R,Sub,Open Weight,1,679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/fbbde91f7bc2d3c5,2,1399,49.0,32.0,60.0,45.0,0.0,0.0,1.0,1.0,30.0,16.0,26.0,14.0,22.0,10.0,23.0,11.0,8.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,2.0,5.0,2.0,21.0,14.0,16.0,9.0,0.0,0.0,5.0,3.0,73.0,75.0,Orthodox,75.0,77.0,Orthodox,31.0,30.0
4642,1996-07-12,R,KO,Open Weight,1,277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://ufcstats.com/fighter-details/271fe91f4ba9d2c5,http://ufcstats.com/fighter-details/1c3f5e85b59ec710,2,997,48.0,42.0,39.0,28.0,1.0,1.0,0.0,0.0,16.0,11.0,22.0,11.0,9.0,4.0,13.0,5.0,7.0,7.0,6.0,4.0,0.0,0.0,3.0,2.0,4.0,1.0,6.0,0.0,7.0,5.0,16.0,11.0,5.0,5.0,0.0,0.0,73.0,75.0,Orthodox,75.0,77.0,Orthodox,30.0,29.0
