,Date,Winner,Method,Referee,N_rounds,W_round,W_round_time,R_fighter,B_fighter,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land
4416,2014-05-31,Iuri Alcantara,KO/TKO,Grant Waterman,3,1,0 days 00:00:25,Vaughan Lee,Iuri Alcantara,0,1,0,0,0,0,0 days 00:00:00,0 days 00:00:03,4,4,10,5,0,0,0,0,4,4,10,5,3,3,8,4,1,1,1,1,0,0,1,0,4,4,6,2,0,0,0,0,0,0,4,3
4417,2014-05-31,Peter Sobotta,Decision - Unanimous,Leon Roberts,3,3,0 days 00:05:00,Peter Sobotta,Pawel Pawlak,0,0,0,0,0,0,0 days 00:07:58,0 days 00:00:00,180,121,128,65,5,3,0,0,101,47,84,21,69,18,69,11,18,15,5,2,14,14,10,8,92,38,84,21,1,1,0,0,8,8,0,0
4418,2014-05-31,Maximo Blanco,Decision - Unanimous,Wolf Menninger,3,3,0 days 00:05:00,Andy Ogle,Maximo Blanco,0,1,0,0,0,2,0 days 00:05:45,0 days 00:02:27,150,78,184,117,5,1,2,1,116,44,117,60,85,23,102,47,24,15,9,7,7,6,6,6,112,40,111,54,1,1,5,5,3,3,1,1
4419,2014-05-31,Ruslan Magomedov,Decision - Unanimous,Marc Goddard,3,3,0 days 00:05:00,Viktor Pesta,Ruslan Magomedov,0,0,0,0,0,0,0 days 00:03:10,0 days 00:00:05,120,46,121,51,9,1,0,0,84,26,117,47,77,20,103,36,7,6,6,5,0,0,8,6,65,14,114,45,11,7,2,1,8,5,1,1
4420,2014-05-24,TJ Dillashaw,KO/TKO,Herb Dean,5,5,0 days 00:02:26,Renan Barao,TJ Dillashaw,0,2,0,2,0,0,0 days 00:00:00,0 days 00:03:38,277,68,344,169,0,0,3,0,273,64,309,140,226,42,260,99,34,13,21,17,13,9,28,24,270,61,277,120,3,3,2,1,0,0,30,19
4421,2014-05-24,Daniel Cormier,Submission,Yves Lavigne,3,3,0 days 00:03:53,Daniel Cormier,Dan Henderson,0,0,2,0,0,0,0 days 00:11:16,0 days 00:00:04,173,131,25,12,3,3,1,0,80,50,18,6,64,35,13,1,16,15,3,3,0,0,2,2,17,4,13,3,0,0,3,2,63,46,2,1
4422,2014-05-24,Robbie Lawler,KO/TKO,Herb Dean,3,3,0 days 00:03:06,Robbie Lawler,Jake Ellenberger,1,0,0,0,1,0,0 days 00:01:10,0 days 00:00:46,159,72,90,30,1,0,3,2,155,68,89,29,141,57,81,22,14,11,6,5,0,0,2,2,122,47,77,19,14,9,9,8,19,12,3,2
4423,2014-05-24,Takeya Mizugaki,Decision - Unanimous,Yves Lavigne,3,3,0 days 00:05:00,Takeya Mizugaki,Francisco Rivera,1,0,0,1,0,0,0 days 00:08:12,0 days 00:00:43,179,67,124,61,3,0,4,3,135,35,104,41,132,33,93,31,1,1,7,6,2,1,4,4,101,18,95,34,2,0,6,5,32,17,3,2
4424,2014-05-24,James Krause,KO/TKO,Jason Herzog,3,1,0 days 00:05:00,Jamie Varner,James Krause,0,0,0,0,0,1,0 days 00:00:35,0 days 00:02:18,33,9,66,32,1,1,0,0,30,7,51,22,25,6,36,12,5,1,6,5,0,0,9,5,19,3,40,18,7,2,5,1,4,2,6,3
4425,2014-05-24,Michael Chiesa,Decision - Unanimous,Herb Dean,3,3,0 days 00:05:00,Michael Chiesa,Francisco Trinaldo,0,0,0,1,0,0,0 days 00:08:49,0 days 00:00:00,208,121,44,23,7,2,0,0,70,19,34,13,63,14,27,7,6,4,5,4,1,1,2,2,48,10,32,11,1,1,2,2,21,8,0,0
